customer_id,channel,send_time,message,reasoning,chat_log,issue_status,confidence_score,expected_resolution_time
unknown,twitter_dm_reply,2025-07-30T11:17:04.000934,Hello! We've received your message and want to help. Can you provide more information about the issue you're facing?,Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.00) and customer's platform preference suggest immediate social media response. Standard response timing based on twitter dm reply best practices. Decision based on conversation analysis of 1 messages over 0 minutes.,Support_agent: @USER I understand. I would like to assist you. We would need to get you into a private secured link to further assist.,resolved,0.7,2.9 hours
unknown,twitter_dm_reply,2025-07-30T11:00:16.820843,"We understand your concern. We sincerely apologize for the frustration. Your experience matters to us, and we're taking immediate action to resolve this.","Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.33) and customer's platform preference suggest immediate social media response. Standard response timing based on twitter dm reply best practices. Customer frustration detected - prioritizing empathetic, immediate response. Decision based on conversation analysis of 1 messages over 0 minutes.",Customer: @USER have a flight at 330pm (45mins) I’m almost to Lax. I’m legally blind and didn’t know where to let you know I need assistance.,pending_customer_reply,0.5,2.5 hours
unknown,twitter_dm_reply,2025-07-30T11:18:55.812444,Hello! We've received your message and want to help. Can you provide more information about the issue you're facing?,Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.00) and customer's platform preference suggest immediate social media response. Standard response timing based on twitter dm reply best practices. Decision based on conversation analysis of 1 messages over 0 minutes.,"Support_agent: @USER Aww, that's definitely a future pilot in the making!",resolved,0.7999999999999999,2.5 hours
unknown,twitter_dm_reply,2025-07-30T11:09:52.778248,Hello! We've received your message and want to help. Can you provide more information about the issue you're facing?,Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.00) and customer's platform preference suggest immediate social media response. Standard response timing based on twitter dm reply best practices. Decision based on conversation analysis of 1 messages over 0 minutes.,Customer: Ben Tennyson and an American Airlines pilot. :jack-o-lantern: @USER …,resolved,0.7999999999999999,2.6 hours
unknown,twitter_dm_reply,2025-07-30T11:17:15.121646,Hello! We've received your message and want to help. Can you provide more information about the issue you're facing?,Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.00) and customer's platform preference suggest immediate social media response. Standard response timing based on twitter dm reply best practices. Decision based on conversation analysis of 1 messages over 0 minutes.,Support_agent: @USER This is a great option for customers who want to share miles and it's cheaper than having to purchase them.,resolved,0.7,2.9 hours
unknown,twitter_dm_reply,2025-07-30T11:04:27.811512,Hello! We've received your message and want to help. Can you provide more information about the issue you're facing?,Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.00) and customer's platform preference suggest immediate social media response. Standard response timing based on twitter dm reply best practices. Decision based on conversation analysis of 1 messages over 0 minutes.,"Customer: @USER Right, but I earned those. I also shouldn’t have to pay to pass them to my own spouse. You need to change your program.",resolved,0.7,3.0 hours
unknown,twitter_dm_reply,2025-07-30T10:43:21.034965,"We understand your concern. We sincerely apologize for the frustration. Your experience matters to us, and we're taking immediate action to resolve this.","Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.00) and customer's platform preference suggest immediate social media response. Quick response time to address negative sentiment and prevent escalation. Customer frustration detected - prioritizing empathetic, immediate response. Decision based on conversation analysis of 1 messages over 0 minutes.","Customer: I’m sorry, what? It’s going to COST me $50 to transfer 4,000 AA Advantage points to my spouse? @USER this is ridiculous!!",pending_customer_reply,0.7,2.9 hours
unknown,twitter_dm_reply,2025-07-30T11:19:30.756177,Hello! We've received your message and want to help. Can you provide more information about the issue you're facing?,Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.00) and customer's platform preference suggest immediate social media response. Standard response timing based on twitter dm reply best practices. Decision based on conversation analysis of 1 messages over 0 minutes.,Support_agent: @USER We're sorry for your frustration.,resolved,0.7999999999999999,2.4 hours
unknown,twitter_dm_reply,2025-07-30T11:17:48.207361,Hello! We've received your message and want to help. Can you provide more information about the issue you're facing?,Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.00) and customer's platform preference suggest immediate social media response. Standard response timing based on twitter dm reply best practices. Decision based on conversation analysis of 1 messages over 0 minutes.,"Support_agent: @USER It's always a pleasure to have you on board, John. Have a wonderful flight over the pond!",resolved,0.7999999999999999,2.8 hours
unknown,twitter_dm_reply,2025-07-30T11:24:52.229358,Hi! Thanks for reaching out. We're here to help resolve this quickly. Could you share more details about what you're experiencing?,Twitter reply selected (confidence: 1.00) for quick resolution. Moderate urgency (score: 0.00) and customer's platform preference suggest immediate social media response. Standard response timing based on twitter dm reply best practices. Decision based on conversation analysis of 1 messages over 0 minutes.,Customer: Heading to London tonight will be there for 5 days doing some exciting stuff:) @USER get the drinks ready I coming aboard:) JB,resolved,0.8999999999999999,3.0 hours
